screen_name,created_at,location,source,hashtags,text
vonubelgarten,2020-04-10 22:37:18,"Jaraguá do Sul, SC",Twidere for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
ohimaa_,2020-04-10 22:37:18,,Twitter for iPhone,COVID19,"This is the moment staff at Darent Valley Hospital in Dartford cheered as a recovering #COVID19 patient left intensive care.

For the latest updates on #coronavirus, click here: https://t.co/TqQ0SZabHn https://t.co/b0s5l6pqUs"
weldamouton,2020-04-10 22:37:17,"Windhoek, Namibia",Twitter for iPhone,,"Minister of Health @DrZweliMkhize launched 60 new mobile laboratories to boost🇿🇦South Africa's capacity to test for #COVID19

Mobile sampling/testing units will be deployed nationwide to all priority districts/metros, w/ 67 total now active

Read more:
🔗https://t.co/uIBcyQSXXT https://t.co/ta0bGUB8A6"
Lewis1566Jones,2020-04-10 22:37:17,,Twitter for Android,,"Contact me if you are a point of care  health care provider, a diagnostic lab or other USFDA approved company who needs COVID-19 IgM/IgG Rapid Test. Overnight delivery available. #covid19 #coronavirus  #rapidtest"
CTV_AvisFavaro,2020-04-10 22:37:12,Toronto,Twitter for iPhone,,"New video released by the U.K.'s air traffic controller shows the effect of the COVID-19 pandemic on air travel over the country. 
#CTVNews #Covid19 #coronavirus #map #plane #UK #flight https://t.co/mdVrJZSeTT"
Lisajeanapple,2020-04-10 22:37:11,"Kentucky, USA",Twitter for iPhone,CoronaApp,"So did @Google &amp; @Apple steal their #CoronaApp idea from @PeppPt, a team of over 130 European scientists, technologists &amp; experts?

31 March: https://t.co/JiM6xkJjyw

10 April: https://t.co/HWfgRsK5fV

#COVID19 #CoronaVirus #GDPR #DataPrivacy https://t.co/SpNYzYa7Eo"
imsweetleaf,2020-04-10 22:37:10,wandering the 3rd dimension,Twitter Web App,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
GurnaniJaanvi,2020-04-10 22:37:02,"Ulhasnagar, India",Twitter for Android,,"Dr. Lancelot Pinto, lung specialist at Hinduja Hospital, explains who is at most risk of contracting COVID-19 or experiencing more severe forms of the disease.
#IndiaAgainstCorona #COVID19 #coronavirus https://t.co/CyBbx7XvGG"
NexusLBC,2020-04-10 22:36:58,France,Twitter Web Client,,"@Allkeyshop join @globalgiving !  Fight the covid19 with the allkeyshop team

https://t.co/ld4c3oZ2Iy

#Allunitedagainstcovid19 #COVID--19 #staysafe #stayathome #GlobalGiving #coronavirus #confinement #Lockdown #Charity #Giveaway @foldingathome https://t.co/MxS204336K"
dankraker,2020-04-10 22:36:58,"Duluth, MN ",Twitter Web Client,,"Some of the front line health care providers who could soon be treating coronavirus patients are also facing pay cuts. Via @catrichert @mprnews Hospitals cut pay, furlough workers to ease COVID-19 financial blow https://t.co/YkEFg6nRrG"
jen_mcguirk,2020-04-10 22:36:56,"Portland, OR",Twitter for iPhone,,"Scam alert for Portland-area restaurant owners:
Someone claiming to work for @MultCohealth is calling businesses &amp; telling them to pay a fine via credit card for a #COVID19-related violation. @MultCo DOESN'T demand payment for violations by credit card https://t.co/WxMOpKVwMx https://t.co/FuFgn6JzeK"
